French,English,Rating
comme,as,0
je,I,0
son,his,0
que,that,0
il,he,0
était,was,0
pour,for,0
sur,on,0
sont,are,0
avec,with,0
ils,they,0
être,be,0
à,at,0
un,one,0
avoir,have,0
ce,this,0
à partir de,from,0
par,by,0
chaud,hot,0
mot,word,0
mais,but,0
que,what,0
certains,some,0
est,is,0
il,it,0
vous,you,0
ou,or,0
eu,had,0
la,the,0
de,of,0
à,to,0
et,and,0
un,a,0
dans,in,0
nous,we,0
boîte,can,0
dehors,out,0
autre,other,0
étaient,were,0
qui,which,0
faire,do,0
leur,their,0
temps,time,0
si,if,0
volonté,will,0
comment,how,0
dit,said,0
un,an,0
chaque,each,0
dire,tell,0
ne,does,0
ensemble,set,0
trois,three,0
vouloir,want,0
air,air,0
bien,well,0
aussi,also,0
jouer,play,0
petit,small,0
fin,end,0
mettre,put,0
maison,home,0
lire,read,0
main,hand,0
port,port,0
grand,large,0
épeler,spell,0
ajouter,add,0
même,even,0
terre,land,0
ici,here,0
il faut,must,0
grand,big,0
haut,high,0
tel,such,0
suivre,follow,0
acte,act,0
pourquoi,why,0
interroger,ask,0
hommes,men,0
changement,change,0
est allé,went,0
lumière,light,0
genre,kind,0
de,off,0
besoin,need,0
maison,house,0
image,picture,0
essayer,try,0
nous,us,0
encore,again,0
animal,animal,0
point,point,0
mère,mother,0
monde,world,0
près de,near,0
construire,build,0
soi,self,0
terre,earth,0
père,father,0
tout,any,0
nouveau,new,0
travail,work,0
partie,part,0
prendre,take,0
obtenir,get,0
lieu,place,0
fabriqué,made,0
vivre,live,0
où,where,0
après,after,0
arrière,back,0
peu,little,0
seulement,only,0
tour,round,0
homme,man,0
année,year,0
est venu,came,0
montrer,show,0
tous,every,0
bon,good,0
moi,me,0
donner,give,0
notre,our,0
sous,under,0
nom,name,0
très,very,0
par,through,0
juste,just,0
forme,form,0
phrase,sentence,0
grand,great,0
penser,think,0
dire,say,0
aider,help,0
faible,low,0
ligne,line,0
différer,differ,0
tour,turn,0
la cause,cause,0
beaucoup,much,0
signifier,mean,0
avant,before,0
déménagement,move,0
droit,right,0
garçon,boy,0
vieux,old,0
trop,too,0
même,same,0
elle,she,0
tous,all,0
là,there,0
quand,when,0
jusqu’à,up,0
utiliser,use,0
votre,your,0
manière,way,0
sur,about,0
beaucoup,many,0
puis,then,0
les,them,0
écrire,write,0
voudrais,would,0
comme,like,0
si,so,0
ces,these,0
son,her,0
long,long,0
faire,make,0
chose,thing,0
voir,see,0
lui,him,0
deux,two,0
a,has,0
regarder,look,0
plus,more,0
jour,day,0
pourrait,could,0
aller,go,0
venir,come,0
fait,did,0
nombre,number,0
son,sound,0
aucun,no,0
plus,most,0
personnes,people,0
ma,my,0
sur,over,0
savoir,know,0
eau,water,0
que,than,0
appel,call,0
première,first,0
qui,who,0
peut,may,0
vers le bas,down,0
côté,side,0
été,been,0
maintenant,now,0
trouver,find,0
tête,head,0
supporter,stand,0
propre,own,0
page,page,0
devrait,should,0
pays,country,0
trouvé,found,0
réponse,answer,0
école,school,0
croître,grow,0
étude,study,0
encore,still,0
apprendre,learn,0
usine,plant,0
couvercle,cover,0
nourriture,food,0
soleil,sun,0
quatre,four,0
entre,between,0
état,state,0
garder,keep,0
œil,eye,0
jamais,never,0
dernier,last,0
laisser,let,0
pensée,thought,0
ville,city,0
arbre,tree,0
traverser,cross,0
ferme,farm,0
dur,hard,0
début,start,0
puissance,might,0
histoire,story,0
scie,saw,0
loin,far,0
mer,sea,0
tirer,draw,0
gauche,left,0
tard,late,0
courir,run,0
tandis que,while,0
presse,press,0
proche,close,0
nuit,night,0
réel,real,0
vie,life,0
peu,few,0
nord,north,0
livre,book,0
porter,carry,0
a pris,took,0
science,science,0
manger,eat,0
chambre,room,0
ami,friend,0
a commencé,began,0
idée,idea,0
poisson,fish,0
montagne,mountain,0
Arrêtez,stop,0
une fois,once,0
base,base,0
entendre,hear,0
cheval,horse,0
coupe,cut,0
sûr,sure,0
regarder,watch,0
couleur,color,0
face,face,0
bois,wood,0
principal,main,0
ouvert,open,0
paraître,seem,0
ensemble,together,0
suivant,next,0
blanc,white,0
enfants,children,0
commencer,begin,0
eu,got,0
marcher,walk,0
exemple,example,0
facilité,ease,0
papier,paper,0
groupe,group,0
toujours,always,0
musique,music,0
ceux,those,0
tous les deux,both,0
marque,mark,0
souvent,often,0
lettre,letter,0
jusqu’à ce que,until,0
mile,mile,0
rivière,river,0
voiture,car,0
pieds,feet,0
soins,care,0
deuxième,second,0
assez,enough,0
plaine,plain,0
fille,girl,0
habituel,usual,0
jeune,young,0
prêt,ready,0
au-dessus,above,0
jamais,ever,0
rouge,red,0
liste,list,0
bien que,though,0
sentir,feel,0
parler,talk,0
oiseau,bird,0
bientôt,soon,0
corps,body,0
chien,dog,0
famille,family,0
direct,direct,0
pose,pose,0
laisser,leave,0
chanson,song,0
mesurer,measure,0
porte,door,0
produit,product,0
noir,black,0
court,short,0
chiffre,numeral,0
classe,class,0
vent,wind,0
question,question,0
arriver,happen,0
complète,complete,0
navire,ship,0
zone,area,0
moitié,half,0
rock,rock,0
ordre,order,0
feu,fire,0
sud,south,0
problème,problem,0
pièce,piece,0
dit,told,0
savait,knew,0
passer,pass,0
depuis,since,0
haut,top,0
ensemble,whole,0
roi,king,0
rue,street,0
pouce,inch,0
multiplier,multiply,0
rien,nothing,0
cours,course,0
rester,stay,0
roue,wheel,0
plein,full,0
force,force,0
bleu,blue,0
objet,object,0
décider,decide,0
surface,surface,0
profond,deep,0
lune,moon,0
île,island,0
pied,foot,0
système,system,0
occupé,busy,0
test,test,0
record,record,0
bateau,boat,0
commun,common,0
or,gold,0
possible,possible,0
plan,plane,0
place,stead,0
sec,dry,0
se demander,wonder,0
rire,laugh,0
mille,thousand,0
il ya,ago,0
ran,ran,0
vérifier,check,0
jeu,game,0
forme,shape,0
assimiler,equate,0
chaud,hot,0
manquer,miss,0
apporté,brought,0
chaleur,heat,0
neige,snow,0
pneu,tire,0
apporter,bring,0
oui,yes,0
lointain,distant,0
remplir,fill,0
est,east,0
peindre,paint,0
langue,language,0
entre,among,0
unité,unit,0
puissance,power,0
ville,town,0
fin,fine,0
certain,certain,0
voler,fly,0
tomber,fall,0
conduire,lead,0
cri,cry,0
sombre,dark,0
machine,machine,0
Note,note,0
patienter,wait,0
plan,plan,0
figure,figure,0
étoile,star,0
boîte,box,0
nom,noun,0
domaine,field,0
reste,rest,0
correct,correct,0
capable,able,0
livre,pound,0
Terminé,done,0
beauté,beauty,0
entraînement,drive,0
résisté,stood,0
contenir,contain,0
avant,front,0
enseigner,teach,0
semaine,week,0
finale,final,0
donné,gave,0
vert,green,0
oh,oh,0
rapide,quick,0
développer,develop,0
océan,ocean,0
chaud,warm,0
gratuit,free,0
minute,minute,0
fort,strong,0
spécial,special,0
esprit,mind,0
derrière,behind,0
clair,clear,0
queue,tail,0
produire,produce,0
fait,fact,0
espace,space,0
entendu,heard,0
meilleur,best,0
heure,hour,0
mieux,better,0
vrai,TRUE,0
pendant,during,0
cent,hundred,0
cinq,five,0
rappeler,remember,0
étape,step,0
tôt,early,0
tenir,hold,0
ouest,west,0
sol,ground,0
intérêt,interest,0
atteindre,reach,0
rapide,fast,0
verbe,verb,0
chanter,sing,0
écouter,listen,0
six,six,0
table,table,0
Voyage,travel,0
moins,less,0
matin,morning,0
dix,ten,0
simple,simple,0
plusieurs,several,0
voyelle,vowel,0
vers,toward,0
guerre,war,0
poser,lay,0
contre,against,0
modèle,pattern,0
lent,slow,0
centre,center,0
amour,love,0
personne,person,0
argent,money,0
servir,serve,0
apparaître,appear,0
route,road,0
carte,map,0
pluie,rain,0
règle,rule,0
gouverner,govern,0
tirer,pull,0
froid,cold,0
avis,notice,0
voix,voice,0
énergie,energy,0
chasse,hunt,0
probable,probable,0
lit,bed,0
frère,brother,0
œuf,egg,0
tour,ride,0
cellule,cell,0
croire,believe,0
peut-être,perhaps,0
choisir,pick,0
soudain,sudden,0
compter,count,0
carré,square,0
raison,reason,0
longueur,length,0
représenter,represent,0
art,art,0
sujet,subject,0
région,region,0
taille,size,0
varier,vary,0
régler,settle,0
parler,speak,0
poids,weight,0
général,general,0
glace,ice,0
question,matter,0
cercle,circle,0
paire,pair,0
inclure,include,0
fracture,divide,0
syllabe,syllable,0
feutre,felt,0
grandiose,grand,0
balle,ball,0
encore,yet,0
vague,wave,0
tomber,drop,0
cœur,heart,0
h,am,0
présent,present,0
lourd,heavy,0
danse,dance,0
moteur,engine,0
position,position,0
bras,arm,0
large,wide,0
voile,sail,0
matériel,material,0
fraction,fraction,0
forêt,forest,0
s’asseoir,sit,0
course,race,0
fenêtre,window,0
magasin,store,0
été,summer,0
train,train,0
sommeil,sleep,0
prouver,prove,0
seul,lone,0
jambe,leg,0
exercice,exercise,0
mur,wall,0
capture,catch,0
monture,mount,0
souhaiter,wish,0
ciel,sky,0
conseil,board,0
joie,joy,0
hiver,winter,0
sat,sat,0
écrit,written,0
sauvage,wild,0
instrument,instrument,0
conservé,kept,0
verre,glass,0
herbe,grass,0
vache,cow,0
emploi,job,0
bord,edge,0
signe,sign,0
visite,visit,0
passé,past,0
doux,soft,0
amusement,fun,0
clair,bright,0
gaz,gas,0
temps,weather,0
mois,month,0
million,million,0
porter,bear,0
finition,finish,0
heureux,happy,0
espoir,hope,0
fleur,flower,0
vêtir,clothe,0
étrange,strange,0
disparu,gone,0
commerce,trade,0
mélodie,melody,0
voyage,trip,0
bureau,office,0
recevoir,receive,0
rangée,row,0
bouche,mouth,0
exact,exact,0
symbole,symbol,0
mourir,die,0
moins,least,0
difficulté,trouble,0
cri,shout,0
sauf,except,0
écrit,wrote,0
semence,seed,0
ton,tone,0
joindre,join,0
suggérer,suggest,0
propre,clean,0
pause,break,0
dame,lady,0
cour,yard,0
augmenter,rise,0
mauvais,bad,0
coup,blow,0
huile,oil,0
sang,blood,0
toucher,touch,0
a augmenté,grew,0
cent,cent,0
mélanger,mix,0
équipe,team,0
fil,wire,0
coût,cost,0
perdu,lost,0
brun,brown,0
porter,wear,0
jardin,garden,0
égal,equal,0
expédié,sent,0
choisir,choose,0
est tombé,fell,0
s’adapter,fit,0
débit,flow,0
juste,fair,0
banque,bank,0
recueillir,collect,0
sauver,save,0
contrôle,control,0
décimal,decimal,0
oreille,ear,0
autre,else,0
tout à fait,quite,0
cassé,broke,0
cas,case,0
milieu,middle,0
tuer,kill,0
fils,son,0
lac,lake,0
moment,moment,0
échelle,scale,0
fort,loud,0
printemps,spring,0
observer,observe,0
enfant,child,0
droit,straight,0
consonne,consonant,0
nation,nation,0
dictionnaire,dictionary,0
lait,milk,0
vitesse,speed,0
méthode,method,0
organe,organ,0
payer,pay,0
âge,age,0
section,section,0
robe,dress,0
nuage,cloud,0
surprise,surprise,0
calme,quiet,0
pierre,stone,0
minuscule,tiny,0
montée,climb,0
frais,cool,0
conception,design,0
pauvres,poor,0
lot,lot,0
expérience,experiment,0
bas,bottom,0
clé,key,0
fer,iron,0
unique,single,0
bâton,stick,0
plat,flat,0
vingt,twenty,0
peau,skin,0
sourire,smile,0
pli,crease,0
trou,hole,0
sauter,jump,0
bébé,baby,0
huit,eight,0
village,village,0
se rencontrent,meet,0
racine,root,0
acheter,buy,0
augmenter,raise,0
résoudre,solve,0
métal,metal,0
si,whether,0
pousser,push,0
sept,seven,0
paragraphe,paragraph,0
troisième,third,0
doit,shall,0
en attente,held,0
cheveux,hair,0
décrire,describe,0
cuisinier,cook,0
étage,floor,0
chaque,either,0
résultat,result,0
brûler,burn,0
colline,hill,0
coffre-fort,safe,0
chat,cat,0
siècle,century,0
envisager,consider,0
type,type,0
droit,law,0
peu,bit,0
côte,coast,0
copie,copy,0
phrase,phrase,0
silencieux,silent,0
haut,tall,0
sable,sand,0
sol,soil,0
rouleau,roll,0
température,temperature,0
doigt,finger,0
industrie,industry,0
valeur,value,0
lutte,fight,0
mensonge,lie,0
battre,beat,0
exciter,excite,0
naturel,natural,0
vue,view,0
sens,sense,0
capital,capital,0
ne sera pas,won’t,0
chaise,chair,0
danger,danger,0
fruit,fruit,0
riche,rich,0
épais,thick,0
soldat,soldier,0
processus,process,0
fonctionner,operate,0
pratique,practice,0
séparé,separate,0
difficile,difficult,0
médecin,doctor,0
s’il vous plaît,please,0
protéger,protect,0
midi,noon,0
récolte,crop,0
moderne,modern,0
élément,element,0
frapper,hit,0
étudiant,student,0
coin,corner,0
partie,party,0
alimentation,supply,0
dont,whose,0
localiser,locate,0
anneau,ring,0
caractère,character,0
insecte,insect,0
pris,caught,0
période,period,0
indiquer,indicate,0
radio,radio,0
rayon,spoke,0
atome,atom,0
humain,human,0
histoire,history,0
effet,effect,0
électrique,electric,0
attendre,expect,0
os,bone,0
rail,rail,0
imaginer,imagine,0
fournir,provide,0
se mettre d’accord,agree,0
ainsi,thus,0
doux,gentle,0
femme,woman,0
capitaine,captain,0
deviner,guess,0
nécessaire,necessary,0
net,sharp,0
aile,wing,0
créer,create,0
voisin,neighbor,0
lavage,wash,0
chauve-souris,bat,0
plutôt,rather,0
foule,crowd,0
blé,corn,0
comparer,compare,0
poème,poem,0
chaîne,string,0
cloche,bell,0
dépendre,depend,0
viande,meat,0
rub,rub,0
tube,tube,0
célèbre,famous,0
dollar,dollar,0
courant,stream,0
peur,fear,0
vue,sight,0
mince,thin,0
triangle,triangle,0
planète,planet,0
se dépêcher,hurry,0
chef,chief,0
colonie,colony,0
horloge,clock,0
mine,mine,0
lien,tie,0
entrer,enter,0
majeur,major,0
frais,fresh,0
recherche,search,0
envoyer,send,0
jaune,yellow,0
pistolet,gun,0
permettre,allow,0
impression,print,0
mort,dead,0
place,spot,0
désert,desert,0
costume,suit,0
courant,current,0
ascenseur,lift,0
rose,rose,0
arriver,arrive,0
maître,master,0
piste,track,0
mère,parent,0
rivage,shore,0
division,division,0
feuille,sheet,0
substance,substance,0
favoriser,favor,0
relier,connect,0
poste,post,0
passer,spend,0
corde,chord,0
graisse,fat,0
heureux,glad,0
original,original,0
part,share,0
station,station,0
papa,dad,0
pain,bread,0
charger,charge,0
propre,proper,0
bar,bar,0
proposition,offer,0
segment,segment,0
esclave,slave,0
canard,duck,0
instant,instant,0
marché,market,0
degré,degree,0
peupler,populate,0
poussin,chick,0
cher,dear,0
ennemi,enemy,0
répondre,reply,0
boisson,drink,0
se produire,occur,0
support,support,0
discours,speech,0
nature,nature,0
gamme,range,0
vapeur,steam,0
mouvement,motion,0
chemin,path,0
liquide,liquid,0
enregistrer,log,0
signifiait,meant,0
quotient,quotient,0
dents,teeth,0
coquille,shell,0
cou,neck,0
oxygène,oxygen,0
sucre,sugar,0
décès,death,0
assez,pretty,0
compétence,skill,0
femmes,women,0
saison,season,0
solution,solution,0
aimant,magnet,0
argent,silver,0
merci,thank,0
branche,branch,0
rencontre,match,0
suffixe,suffix,0
particulièrement,especially,0
figue,fig,0
peur,afraid,0
énorme,huge,0
sœur,sister,0
acier,steel,0
discuter,discuss,0
avant,forward,0
similaire,similar,0
guider,guide,0
expérience,experience,0
score,score,0
pomme,apple,0
acheté,bought,0
pas,pitch,0
manteau,coat,0
masse,mass,0
carte,card,0
bande,band,0
corde,rope,0
glissement,slip,0
gagner,win,0
rêver,dream,0
soirée,evening,0
condition,condition,0
alimentation,feed,0
outil,tool,0
total,total,0
de base,basic,0
odeur,smell,0
vallée,valley,0
ni,nor,0
double,double,0
siège,seat,0
continuer,continue,0
bloc,block,0
graphique,chart,0
chapeau,hat,0
vendre,sell,0
succès,success,0
entreprise,company,0
soustraire,subtract,0
événement,event,0
particulier,particular,0
accord,deal,0
baignade,swim,0
terme,term,0
opposé,opposite,0
femme,wife,0
chaussure,shoe,0
épaule,shoulder,0
propagation,spread,0
organiser,arrange,0
camp,camp,0
inventer,invent,0
coton,cotton,0
né,born,0
déterminer,determine,0
litre,quart,0
neuf,nine,0
camion,truck,0
bruit,noise,0
niveau,level,0
chance,chance,0
recueillir,gather,0
boutique,shop,0
tronçon,stretch,0
jeter,throw,0
éclat,shine,0
propriété,property,0
colonne,column,0
molécule,molecule,0
sélectionner,select,0
mal,wrong,0
gris,gray,0
répétition,repeat,0
exiger,require,0
large,broad,0
préparer,prepare,0
sel,salt,0
nez,nose,0
pluriel,plural,0
colère,anger,0
revendication,claim,0